Id,Course_Id,Course_Name,Sentiment,Review_Text,Instructor_Name,Difficulty_Level,Workload,Course_Year
32,EC,Economics,positive,This Economics course was interesting.,Mr. Mohit Jain,Difficult,Medium,2023
33,LI,Literature,positive,This Literature course was excellent.,Prof. Smith,Moderate,Medium,2024
34,CS,Computer Science,neutral,This Computer Science course was fair.,Ms. Syed Humera B,Moderate,Low,2024
35,BI,Biology,neutral,This Biology course was decent.,Mr. Shishirendu Jha,Easy,Medium,2024
36,SE,Software Engineering,negative,This Software Engineering course was unclear.,Ms. Syed Humera B,Easy,High,2024
37,ML,Machine Learning,positive,This Machine Learning course was interesting.,Mr. Amitesh Jha,Difficult,Low,2024
38,HI,History,positive,This History course was excellent.,Ms. Divya P D,Moderate,High,2023
39,PS,Political Science,positive,This Political Science course was interesting.,Mr. Shishirendu Jha,Moderate,High,2024
40,BI,Biology,neutral,This Biology course was fair.,Ms. Brown,Moderate,High,2024
41,MA,Mathematics,neutral,This Mathematics course was decent.,Ms. Aiman Syed C,Easy,Medium,2023
42,LI,Literature,neutral,This Literature course was decent.,Ms. Divya P D,Difficult,Low,2023
43,CS,Computer Science,negative,This Computer Science course was unclear.,Mr. Mohit Jain,Difficult,High,2024
44,LI,Literature,neutral,This Literature course was okay.,Ms. Kalyani Jha,Easy,Medium,2024
45,ML,Machine Learning,positive,This Machine Learning course was interesting.,Ms. Rashi A,Moderate,High,2023
46,CH,Chemistry,positive,This Chemistry course was excellent.,Ms. Divya P D,Easy,High,2023
47,SO,Sociology,positive,This Sociology course was great.,Ms. Ruchika Gupta C,Moderate,Medium,2024
48,BI,Biology,negative,This Biology course was unorganized.,Mr. Shishirendu Jha,Easy,Low,2023
49,EC,Economics,positive,This Economics course was informative.,Mr. Davis,Easy,Medium,2024
50,SO,Sociology,neutral,This Sociology course was fair.,Ms. Dhanya Patil D,Easy,Low,2023
51,EC,Economics,positive,This Economics course was excellent.,Mr. Amitesh Jha,Easy,High,2024
52,CS,Computer Science,negative,This Computer Science course was boring.,Ms. Dhanya Patil D,Easy,Medium,2023
53,SO,Sociology,positive,This Sociology course was interesting.,Ms. Ruchika Gupta C,Moderate,Low,2023
54,LI,Literature,negative,This Literature course was disappointing.,Ms. Monika P,Moderate,Medium,2024
55,SE,Software Engineering,neutral,This Software Engineering course was average.,Ms. Ishu C,Easy,High,2023
56,SE,Software Engineering,neutral,This Software Engineering course was decent.,Ms. Kalyani Jha,Moderate,High,2023
57,PS,Psychology,negative,This Psychology course was unclear.,Ms. Syed Humera B,Moderate,High,2024
58,DS,Data Science,positive,This Data Science course was interesting.,Ms. Divya P D,Difficult,High,2024
59,HI,History,negative,This History course was unorganized.,Ms. Aiman Syed C,Easy,Low,2023
60,MA,Mathematics,negative,This Mathematics course was disappointing.,Ms. Rashi A,Easy,Low,2023
61,AI,Artificial Intelligence,neutral,This Artificial Intelligence course was so-so.,Mr. Aditya Kumar,Moderate,High,2023
62,DS,Data Science,positive,This Data Science course was engaging.,Prof. Johnson,Difficult,Low,2023
63,MA,Mathematics,neutral,This Mathematics course was fair.,Ms. Aiman Syed C,Easy,Medium,2024
64,SO,Sociology,negative,This Sociology course was unclear.,Ms. Brown,Difficult,Medium,2024
65,BI,Biology,positive,This Biology course was interesting.,Mr. Davis,Difficult,Low,2024
66,DS,Data Science,neutral,This Data Science course was okay.,Ms. Kalyani Jha,Moderate,Medium,2024
67,ML,Machine Learning,negative,This Machine Learning course was difficult.,Prof. Smith,Moderate,Medium,2024
68,CS,Computer Science,negative,This Computer Science course was difficult.,Prof. Johnson,Easy,Low,2024
69,SE,Software Engineering,negative,This Software Engineering course was difficult.,Mr. Davis,Difficult,Medium,2024
70,EC,Economics,neutral,This Economics course was decent.,Dr. Jones,Easy,Medium,2024
71,SO,Sociology,neutral,This Sociology course was okay.,Prof. Johnson,Difficult,High,2023
72,PS,Political Science,positive,This Political Science course was engaging.,Ms. Brown,Easy,Medium,2023
73,PS,Political Science,positive,This Political Science course was informative.,Mr. Abhay Kumar,Easy,High,2023
74,PH,Physics,negative,This Physics course was difficult.,Mr. Aditya Kumar,Moderate,High,2024
75,PH,Physics,negative,This Physics course was unclear.,Prof. Johnson,Difficult,Low,2024
76,MA,Mathematics,neutral,This Mathematics course was decent.,Ms. Ishu C,Easy,Low,2023
77,DS,Data Science,negative,This Data Science course was unclear.,Dr. Jones,Easy,Low,2023
78,LI,Literature,positive,This Literature course was engaging.,Mr. Amitesh Jha,Moderate,High,2024
79,EC,Economics,negative,This Economics course was unclear.,Mr. Mohit Jain,Easy,Low,2023
80,MA,Mathematics,neutral,This Mathematics course was fair.,Ms. Ruchika Gupta C,Difficult,Medium,2024
81,PS,Psychology,positive,This Psychology course was great.,Ms. Rashi A,Difficult,Medium,2023
82,ML,Machine Learning,neutral,This Machine Learning course was decent.,Ms. Rashi A,Moderate,High,2023
83,ML,Machine Learning,negative,This Machine Learning course was unclear.,Mr. Amitesh Jha,Moderate,High,2023
84,DS,Data Science,positive,This Data Science course was great.,Mr. Abhay Kumar,Easy,Low,2024
85,CS,Computer Science,positive,This Computer Science course was informative.,Ms. Syed Humera B,Difficult,Low,2024
86,HI,History,neutral,This History course was decent.,Mr. Abhay Kumar,Easy,High,2023
87,PS,Psychology,positive,This Psychology course was great.,Mr. Kunal Taneja,Difficult,Medium,2024
88,SO,Sociology,negative,This Sociology course was boring.,Ms. Kalyani Jha,Moderate,Low,2023
89,HI,History,positive,This History course was great.,Ms. Rashi A,Moderate,High,2023
90,PS,Political Science,negative,This Political Science course was unclear.,Ms. Dhanya Patil D,Easy,Low,2024
91,SE,Software Engineering,negative,This Software Engineering course was unclear.,Ms. Aiman Syed C,Difficult,Medium,2024
92,LI,Literature,positive,This Literature course was informative.,Ms. Arpita S C,Difficult,High,2023
93,PH,Physics,positive,This Physics course was interesting.,Ms. Monika P,Difficult,High,2024
94,EC,Economics,negative,This Economics course was unclear.,Mr. Kunal Taneja,Easy,Low,2024
95,LI,Literature,positive,This Literature course was interesting.,Ms. Arpita S C,Easy,Low,2024
96,EC,Economics,negative,This Economics course was boring.,Mr. Mohit Jain,Moderate,Low,2023
97,EC,Economics,negative,This Economics course was unorganized.,Ms. Mukul S,Easy,Low,2023
98,SE,Software Engineering,positive,This Software Engineering course was excellent.,Mr. Mohit Jain,Easy,Medium,2024
99,CS,Computer Science,negative,This Computer Science course was unorganized.,Prof. Johnson,Moderate,Medium,2024
100,HI,History,negative,This History course was boring.,Prof. Johnson,Moderate,High,2024
101,AI,Artificial Intelligence,neutral,This Artificial Intelligence course was so-so.,Ms. Ishu C,Easy,Medium,2023
102,PH,Physics,negative,This Physics course was unclear.,Mr. Aditya Kumar,Difficult,High,2023
103,HI,History,neutral,This History course was average.,Prof. Johnson,Easy,Low,2023
104,LI,Literature,positive,This Literature course was interesting.,Mr. Amitesh Jha,Easy,Medium,2024
105,ML,Machine Learning,neutral,This Machine Learning course was okay.,Ms. Mukul S,Difficult,Medium,2024
106,LI,Literature,negative,This Literature course was disappointing.,Mr. Davis,Easy,Medium,2023
107,LI,Literature,negative,This Literature course was difficult.,Mr. Abhay Kumar,Moderate,High,2024
108,HI,History,neutral,This History course was okay.,Mr. Aditya Kumar,Easy,High,2023
109,MA,Mathematics,neutral,This Mathematics course was so-so.,Ms. Monika P,Moderate,Low,2023
110,HI,History,negative,This History course was disappointing.,Ms. Mukul S,Easy,High,2024
111,ML,Machine Learning,positive,This Machine Learning course was great.,Mr. Amitesh Jha,Easy,High,2023
112,LI,Literature,positive,This Literature course was interesting.,Mr. Abhay Kumar,Moderate,Medium,2023
113,CH,Chemistry,neutral,This Chemistry course was fair.,Mr. Aditya Kumar,Easy,Low,2024
114,PS,Psychology,neutral,This Psychology course was okay.,Ms. Kalyani Jha,Easy,High,2024
115,PS,Political Science,negative,This Political Science course was disappointing.,Ms. Kalyani Jha,Easy,Medium,2024
116,AI,Artificial Intelligence,negative,This Artificial Intelligence course was difficult.,Ms. Aiman Syed C,Difficult,Medium,2023
117,PH,Physics,negative,This Physics course was disappointing.,Ms. Ishu C,Easy,Medium,2024
118,HI,History,positive,This History course was interesting.,Mr. Mohit Jain,Easy,Low,2024
119,MA,Mathematics,negative,This Mathematics course was difficult.,Mr. Aditya Kumar,Moderate,Low,2023
120,PS,Political Science,neutral,This Political Science course was decent.,Prof. Smith,Easy,High,2024
121,PS,Psychology,positive,This Psychology course was informative.,Ms. Divya P D,Moderate,Low,2024
122,PH,Physics,neutral,This Physics course was decent.,Ms. Ruchika Gupta C,Easy,Medium,2024
123,SO,Sociology,neutral,This Sociology course was decent.,Mr. Davis,Difficult,Medium,2023
124,LI,Literature,negative,This Literature course was difficult.,Mr. Shishirendu Jha,Moderate,Low,2024
125,PS,Political Science,neutral,This Political Science course was average.,Ms. Aiman Syed C,Difficult,Medium,2023
126,PS,Psychology,positive,This Psychology course was engaging.,Ms. Divya P D,Moderate,High,2023
127,PH,Physics,neutral,This Physics course was decent.,Ms. Divya P D,Easy,Low,2023
128,BI,Biology,negative,This Biology course was boring.,Ms. Divya P D,Easy,Medium,2024
129,AI,Artificial Intelligence,neutral,This Artificial Intelligence course was decent.,Ms. Ruchika Gupta C,Moderate,Low,2023
130,DS,Data Science,neutral,This Data Science course was average.,Ms. Kalyani Jha,Difficult,High,2023
131,PS,Psychology,negative,This Psychology course was difficult.,Ms. Rashi A,Difficult,Medium,2024
132,LI,Literature,positive,This Literature course was informative.,Prof. Johnson,Moderate,Medium,2024
133,SO,Sociology,negative,This Sociology course was disappointing.,Ms. Mukul S,Easy,High,2024
134,ML,Machine Learning,negative,This Machine Learning course was unorganized.,Ms. Ruchika Gupta C,Moderate,Medium,2024
135,MA,Mathematics,negative,This Mathematics course was unclear.,Mr. Davis,Easy,Low,2023
136,SE,Software Engineering,positive,This Software Engineering course was great.,Ms. Arpita S C,Easy,High,2024
137,PH,Physics,negative,This Physics course was unorganized.,Ms. Monika P,Easy,High,2024
138,DS,Data Science,positive,This Data Science course was great.,Mr. Davis,Easy,High,2023
139,DS,Data Science,negative,This Data Science course was disappointing.,Mr. Amitesh Jha,Easy,Medium,2023
140,LI,Literature,negative,This Literature course was unorganized.,Mr. Abhay Kumar,Easy,Low,2023
141,SE,Software Engineering,positive,This Software Engineering course was excellent.,Ms. Kalyani Jha,Difficult,Low,2023
142,PH,Physics,negative,This Physics course was unorganized.,Mr. Mohit Jain,Difficult,Medium,2024
143,MA,Mathematics,negative,This Mathematics course was disappointing.,Mr. Shishirendu Jha,Difficult,High,2024
144,SE,Software Engineering,negative,This Software Engineering course was difficult.,Ms. Aiman Syed C,Moderate,Low,2023
145,SE,Software Engineering,negative,This Software Engineering course was difficult.,Mr. Shishirendu Jha,Easy,Low,2024
146,SO,Sociology,neutral,This Sociology course was average.,Mr. Amitesh Jha,Difficult,High,2024
147,SO,Sociology,neutral,This Sociology course was okay.,Mr. Mohit Jain,Easy,Medium,2024
148,AI,Artificial Intelligence,positive,This Artificial Intelligence course was informative.,Ms. Ishu C,Difficult,Medium,2023
149,SE,Software Engineering,positive,This Software Engineering course was interesting.,Ms. Rashi A,Easy,Medium,2023
150,PS,Psychology,positive,This Psychology course was informative.,Ms. Ishu C,Moderate,Low,2023
151,ML,Machine Learning,negative,This Machine Learning course was disappointing.,Dr. Jones,Easy,Medium,2023
152,AI,Artificial Intelligence,positive,This Artificial Intelligence course was interesting.,Mr. Davis,Moderate,High,2024
153,PS,Psychology,negative,This Psychology course was difficult.,Ms. Brown,Difficult,Low,2024
154,SO,Sociology,positive,This Sociology course was excellent.,Ms. Monika P,Difficult,Medium,2023
155,SO,Sociology,neutral,This Sociology course was decent.,Ms. Kalyani Jha,Difficult,Low,2024
156,PS,Psychology,positive,This Psychology course was excellent.,Dr. Jones,Difficult,Low,2024
157,ML,Machine Learning,neutral,This Machine Learning course was okay.,Mr. Kunal Taneja,Easy,High,2023
158,PS,Political Science,neutral,This Political Science course was fair.,Mr. Mohit Jain,Difficult,High,2024
159,ML,Machine Learning,neutral,This Machine Learning course was okay.,Mr. Davis,Moderate,Medium,2024
160,PS,Psychology,negative,This Psychology course was unorganized.,Ms. Rashi A,Moderate,Medium,2024
161,PS,Psychology,positive,This Psychology course was engaging.,Dr. Jones,Easy,Low,2023
162,CS,Computer Science,neutral,This Computer Science course was okay.,Mr. Amitesh Jha,Moderate,Medium,2024
163,LI,Literature,negative,This Literature course was boring.,Mr. Aditya Kumar,Easy,Low,2024
164,SE,Software Engineering,neutral,This Software Engineering course was so-so.,Mr. Aditya Kumar,Moderate,Medium,2024
165,CH,Chemistry,neutral,This Chemistry course was decent.,Ms. Arpita S C,Easy,Medium,2024
166,BI,Biology,negative,This Biology course was unclear.,Mr. Amitesh Jha,Easy,Low,2023
167,AI,Artificial Intelligence,positive,This Artificial Intelligence course was interesting.,Ms. Dhanya Patil D,Easy,High,2024
168,BI,Biology,positive,This Biology course was informative.,Ms. Dhanya Patil D,Easy,Low,2023
169,SE,Software Engineering,negative,This Software Engineering course was unorganized.,Mr. Amitesh Jha,Difficult,High,2023
170,EC,Economics,negative,This Economics course was unclear.,Ms. Rashi A,Moderate,Medium,2023
171,LI,Literature,negative,This Literature course was disappointing.,Ms. Arpita S C,Difficult,Low,2024
172,CH,Chemistry,positive,This Chemistry course was informative.,Ms. Rashi A,Easy,Low,2023
173,DS,Data Science,positive,This Data Science course was excellent.,Ms. Rashi A,Difficult,High,2023
174,DS,Data Science,neutral,This Data Science course was so-so.,Ms. Mukul S,Easy,Medium,2024
175,EC,Economics,neutral,This Economics course was decent.,Ms. Brown,Difficult,Low,2023
176,PH,Physics,negative,This Physics course was boring.,Ms. Syed Humera B,Difficult,Medium,2023
177,HI,History,negative,This History course was disappointing.,Ms. Divya P D,Difficult,Medium,2024
178,BI,Biology,positive,This Biology course was interesting.,Mr. Aditya Kumar,Moderate,Medium,2024
179,PS,Political Science,positive,This Political Science course was great.,Ms. Brown,Difficult,High,2024
180,BI,Biology,positive,This Biology course was interesting.,Mr. Abhay Kumar,Easy,Low,2023
181,BI,Biology,positive,This Biology course was informative.,Ms. Mukul S,Easy,Low,2024
182,PS,Psychology,negative,This Psychology course was disappointing.,Mr. Shishirendu Jha,Moderate,High,2024
183,DS,Data Science,negative,This Data Science course was unclear.,Ms. Rashi A,Difficult,High,2024
184,CS,Computer Science,positive,This Computer Science course was excellent.,Mr. Shishirendu Jha,Easy,Medium,2023
185,ML,Machine Learning,positive,This Machine Learning course was informative.,Ms. Syed Humera B,Easy,Low,2024
186,PS,Psychology,positive,This Psychology course was great.,Mr. Shishirendu Jha,Difficult,Medium,2024
187,HI,History,positive,This History course was informative.,Mr. Abhay Kumar,Moderate,High,2024
188,LI,Literature,positive,This Literature course was great.,Ms. Aiman Syed C,Moderate,High,2024
189,PS,Psychology,negative,This Psychology course was disappointing.,Prof. Johnson,Difficult,High,2023
190,HI,History,neutral,This History course was okay.,Ms. Brown,Easy,Low,2024
191,SE,Software Engineering,positive,This Software Engineering course was engaging.,Ms. Syed Humera B,Difficult,High,2023
192,DS,Data Science,positive,This Data Science course was excellent.,Ms. Rashi A,Moderate,High,2024
193,LI,Literature,negative,This Literature course was unorganized.,Dr. Jones,Easy,Low,2023
194,PH,Physics,positive,This Physics course was great.,Mr. Kunal Taneja,Easy,High,2023
195,CS,Computer Science,negative,This Computer Science course was unorganized.,Mr. Davis,Difficult,Medium,2023
196,BI,Biology,positive,This Biology course was excellent.,Ms. Divya P D,Difficult,Low,2023
197,PS,Psychology,negative,This Psychology course was boring.,Mr. Aditya Kumar,Difficult,Low,2024
198,LI,Literature,positive,This Literature course was great.,Mr. Mohit Jain,Moderate,High,2023
199,PH,Physics,negative,This Physics course was difficult.,Prof. Smith,Moderate,Medium,2024
200,EC,Economics,negative,This Economics course was unclear.,Prof. Smith,Moderate,Low,2024
201,AI,Artificial Intelligence,neutral,This Artificial Intelligence course was so-so.,Mr. Amitesh Jha,Moderate,Medium,2023
202,MA,Mathematics,positive,This Mathematics course was excellent.,Mr. Amitesh Jha,Difficult,Low,2023
203,MA,Mathematics,neutral,This Mathematics course was decent.,Dr. Jones,Easy,Low,2023
204,PS,Political Science,negative,This Political Science course was unclear.,Ms. Aiman Syed C,Easy,Medium,2024
205,MA,Mathematics,positive,This Mathematics course was engaging.,Mr. Amitesh Jha,Easy,Low,2023
206,SE,Software Engineering,neutral,This Software Engineering course was fair.,Prof. Johnson,Easy,High,2023
207,MA,Mathematics,positive,This Mathematics course was informative.,Ms. Mukul S,Easy,High,2023
208,PS,Political Science,neutral,This Political Science course was decent.,Dr. Jones,Moderate,Low,2023
209,AI,Artificial Intelligence,negative,This Artificial Intelligence course was difficult.,Dr. Jones,Moderate,Medium,2023
210,DS,Data Science,positive,This Data Science course was engaging.,Ms. Monika P,Moderate,Medium,2023
211,AI,Artificial Intelligence,negative,This Artificial Intelligence course was unorganized.,Ms. Dhanya Patil D,Difficult,Medium,2024
212,MA,Mathematics,positive,This Mathematics course was engaging.,Mr. Abhay Kumar,Difficult,High,2024
213,PS,Psychology,positive,This Psychology course was informative.,Dr. Jones,Easy,Medium,2024
214,SO,Sociology,neutral,This Sociology course was fair.,Ms. Brown,Moderate,Medium,2024
215,SE,Software Engineering,negative,This Software Engineering course was disappointing.,Ms. Mukul S,Easy,High,2023
216,ML,Machine Learning,positive,This Machine Learning course was excellent.,Ms. Aiman Syed C,Difficult,High,2023
217,BI,Biology,positive,This Biology course was great.,Ms. Syed Humera B,Difficult,Medium,2023
218,LI,Literature,positive,This Literature course was interesting.,Mr. Kunal Taneja,Moderate,Medium,2024
219,HI,History,positive,This History course was excellent.,Mr. Davis,Difficult,High,2023
220,CS,Computer Science,positive,This Computer Science course was excellent.,Ms. Arpita S C,Moderate,High,2024
221,SE,Software Engineering,positive,This Software Engineering course was engaging.,Prof. Johnson,Moderate,High,2023
222,SO,Sociology,negative,This Sociology course was unorganized.,Dr. Jones,Moderate,High,2023
223,CS,Computer Science,neutral,This Computer Science course was okay.,Mr. Aditya Kumar,Difficult,Medium,2023
224,HI,History,positive,This History course was interesting.,Mr. Amitesh Jha,Easy,Low,2023
225,PS,Psychology,positive,This Psychology course was informative.,Ms. Arpita S C,Easy,Low,2024
226,EC,Economics,negative,This Economics course was difficult.,Mr. Kunal Taneja,Easy,Medium,2023
227,DS,Data Science,negative,This Data Science course was unclear.,Ms. Arpita S C,Difficult,Low,2023
228,LI,Literature,negative,This Literature course was disappointing.,Ms. Monika P,Difficult,Low,2023
229,MA,Mathematics,negative,This Mathematics course was disappointing.,Mr. Mohit Jain,Difficult,High,2023
230,BI,Biology,neutral,This Biology course was average.,Ms. Ruchika Gupta C,Moderate,Low,2023
231,CS,Computer Science,neutral,This Computer Science course was okay.,Ms. Brown,Moderate,Low,2024
232,EC,Economics,positive,This Economics course was informative.,Mr. Mohit Jain,Easy,High,2023
233,PS,Political Science,negative,This Political Science course was boring.,Ms. Aiman Syed C,Moderate,Low,2024
234,AI,Artificial Intelligence,neutral,This Artificial Intelligence course was okay.,Ms. Aiman Syed C,Difficult,Low,2023
235,MA,Mathematics,positive,This Mathematics course was excellent.,Ms. Divya P D,Moderate,Low,2023
236,MA,Mathematics,positive,This Mathematics course was informative.,Mr. Amitesh Jha,Easy,Medium,2023
237,DS,Data Science,negative,This Data Science course was unorganized.,Ms. Rashi A,Moderate,Low,2023
238,CH,Chemistry,positive,This Chemistry course was engaging.,Ms. Arpita S C,Difficult,Low,2024
239,CH,Chemistry,positive,This Chemistry course was informative.,Ms. Rashi A,Easy,Low,2023
240,PH,Physics,positive,This Physics course was informative.,Ms. Monika P,Difficult,Medium,2023
241,PS,Political Science,negative,This Political Science course was disappointing.,Ms. Mukul S,Moderate,Medium,2023
242,ML,Machine Learning,negative,This Machine Learning course was boring.,Dr. Jones,Difficult,High,2023
243,AI,Artificial Intelligence,negative,This Artificial Intelligence course was disappointing.,Dr. Jones,Difficult,Low,2023
244,LI,Literature,neutral,This Literature course was so-so.,Dr. Jones,Moderate,Medium,2023
245,SO,Sociology,negative,This Sociology course was boring.,Mr. Kunal Taneja,Moderate,High,2023
246,SE,Software Engineering,positive,This Software Engineering course was great.,Ms. Dhanya Patil D,Easy,Low,2023
247,DS,Data Science,neutral,This Data Science course was average.,Mr. Abhay Kumar,Difficult,High,2024
248,SO,Sociology,neutral,This Sociology course was average.,Ms. Syed Humera B,Easy,Low,2024
249,BI,Biology,negative,This Biology course was difficult.,Mr. Kunal Taneja,Moderate,Low,2023
250,SE,Software Engineering,neutral,This Software Engineering course was so-so.,Mr. Amitesh Jha,Easy,Low,2023
251,LI,Literature,neutral,This Literature course was okay.,Ms. Mukul S,Easy,High,2023
252,BI,Biology,neutral,This Biology course was fair.,Ms. Monika P,Difficult,Medium,2023
253,LI,Literature,positive,This Literature course was informative.,Mr. Abhay Kumar,Moderate,Medium,2024
254,CS,Computer Science,positive,This Computer Science course was informative.,Prof. Johnson,Easy,Low,2024
255,AI,Artificial Intelligence,positive,This Artificial Intelligence course was interesting.,Ms. Dhanya Patil D,Easy,High,2023
256,PS,Political Science,neutral,This Political Science course was so-so.,Ms. Ruchika Gupta C,Difficult,Medium,2024
257,PH,Physics,negative,This Physics course was difficult.,Ms. Rashi A,Difficult,Low,2024
258,SO,Sociology,positive,This Sociology course was great.,Mr. Davis,Difficult,High,2023
259,SE,Software Engineering,negative,This Software Engineering course was disappointing.,Mr. Davis,Easy,Low,2023
260,SO,Sociology,positive,This Sociology course was excellent.,Mr. Amitesh Jha,Difficult,Low,2024
261,CS,Computer Science,positive,This Computer Science course was informative.,Ms. Arpita S C,Easy,Medium,2023
262,MA,Mathematics,neutral,This Mathematics course was decent.,Ms. Syed Humera B,Moderate,Low,2023
263,LI,Literature,negative,This Literature course was disappointing.,Ms. Ishu C,Moderate,High,2024
264,PH,Physics,positive,This Physics course was interesting.,Mr. Kunal Taneja,Easy,High,2024
265,LI,Literature,neutral,This Literature course was okay.,Mr. Shishirendu Jha,Moderate,Medium,2023
266,HI,History,positive,This History course was great.,Prof. Johnson,Moderate,High,2024
267,MA,Mathematics,neutral,This Mathematics course was decent.,Ms. Arpita S C,Moderate,Low,2023
268,BI,Biology,positive,This Biology course was informative.,Mr. Kunal Taneja,Easy,Low,2024
269,CH,Chemistry,neutral,This Chemistry course was fair.,Prof. Johnson,Moderate,Low,2024
270,CS,Computer Science,positive,This Computer Science course was great.,Ms. Ishu C,Moderate,Medium,2023
271,SE,Software Engineering,positive,This Software Engineering course was excellent.,Ms. Arpita S C,Moderate,Low,2023
272,DS,Data Science,neutral,This Data Science course was so-so.,Mr. Shishirendu Jha,Difficult,Medium,2024
273,PS,Political Science,positive,This Political Science course was excellent.,Mr. Abhay Kumar,Easy,Low,2023
274,PH,Physics,positive,This Physics course was interesting.,Prof. Smith,Moderate,Medium,2023
275,EC,Economics,negative,This Economics course was boring.,Mr. Mohit Jain,Moderate,High,2024
276,AI,Artificial Intelligence,negative,This Artificial Intelligence course was unorganized.,Ms. Ruchika Gupta C,Difficult,Low,2024
277,CH,Chemistry,positive,This Chemistry course was excellent.,Ms. Rashi A,Moderate,Low,2023
278,ML,Machine Learning,neutral,This Machine Learning course was okay.,Ms. Aiman Syed C,Easy,Low,2023
279,PH,Physics,neutral,This Physics course was fair.,Ms. Mukul S,Easy,High,2024
280,SE,Software Engineering,negative,This Software Engineering course was unorganized.,Mr. Aditya Kumar,Easy,High,2024
281,LI,Literature,negative,This Literature course was unclear.,Ms. Arpita S C,Moderate,High,2024
282,DS,Data Science,negative,This Data Science course was difficult.,Mr. Abhay Kumar,Difficult,High,2024
283,HI,History,neutral,This History course was decent.,Mr. Amitesh Jha,Easy,Low,2024
284,CS,Computer Science,neutral,This Computer Science course was okay.,Ms. Arpita S C,Moderate,High,2024
285,LI,Literature,negative,This Literature course was unclear.,Mr. Aditya Kumar,Easy,High,2024
286,HI,History,neutral,This History course was so-so.,Ms. Rashi A,Easy,Low,2024
287,LI,Literature,positive,This Literature course was informative.,Prof. Johnson,Difficult,Medium,2023
288,SE,Software Engineering,neutral,This Software Engineering course was fair.,Ms. Arpita S C,Difficult,Medium,2024
289,DS,Data Science,neutral,This Data Science course was fair.,Ms. Dhanya Patil D,Easy,Low,2024
290,CS,Computer Science,positive,This Computer Science course was informative.,Ms. Ruchika Gupta C,Difficult,Low,2024
291,BI,Biology,negative,This Biology course was unclear.,Prof. Smith,Difficult,High,2024
292,BI,Biology,negative,This Biology course was disappointing.,Ms. Ishu C,Easy,High,2024
293,CS,Computer Science,neutral,This Computer Science course was decent.,Mr. Davis,Moderate,High,2024
294,AI,Artificial Intelligence,negative,This Artificial Intelligence course was difficult.,Prof. Smith,Moderate,High,2024
